Customer ID,Customer Name,Segment,Region,State,City,Join Date,Geography Key,Recency,Frequency,Monetary,Total_Profit,Total_Units,First_Purchase,Last_Purchase,R_Score,F_Score,M_Score,RFM_Score,RFM Segment,Customer Lifetime Value,Average Order Value
CUST-0001,Samantha Anderson,Consumer,Central,Texas,Houston,2023-05-17,GEO-0023,345,3,1761.6,973.11,13,2023-09-09,2025-07-21,2,2,3,223,At-Risk Customers,1761.6,587.2
CUST-0002,Donald Moore,Corporate,West,Washington,Spokane,2025-04-24,GEO-0007,95,5,401.7,186.34999999999997,7,2025-06-01,2026-03-28,4,3,1,431,Potential Loyalists,401.7,80.34
CUST-0003,Jason Jones,Consumer,East,Pennsylvania,Pittsburgh,2023-04-22,GEO-0031,132,9,12209.05,5279.85,19,2023-05-10,2026-02-19,3,5,5,355,Loyal Customers,12209.05,1356.56
CUST-0004,Nicholas Brown,Corporate,South,Florida,Orlando,2023-03-28,GEO-0021,55,6,3000.7,1222.02,16,2023-05-30,2026-05-07,4,4,3,443,Loyal Customers,3000.7,500.12
CUST-0005,Laura Scott,Corporate,West,California,Los Angeles,2022-11-23,GEO-0008,4,4,1227.85,502.81000000000006,6,2024-03-17,2026-06-27,5,3,2,532,Potential Loyalists,1227.85,306.96
CUST-0006,Rachel Diaz,Consumer,West,Nevada,Las Vegas,2023-03-17,GEO-0029,17,5,1112.7,522.81,11,2023-09-18,2026-06-14,5,3,2,532,Potential Loyalists,1112.7,222.54
CUST-0007,Ruth Baker,Consumer,Central,Minnesota,Minneapolis,2022-07-18,GEO-0032,277,5,1579.75,674.94,8,2023-04-28,2025-09-27,2,3,3,233,Loyal Customers,1579.75,315.95
CUST-0008,Amanda Hall,Corporate,West,California,San Diego,2024-07-29,GEO-0005,50,4,1547.5,650.15,8,2024-09-11,2026-05-12,4,3,2,432,Potential Loyalists,1547.5,386.88
CUST-0009,Jonathan Thomas,Home Office,Central,Minnesota,Minneapolis,2022-06-11,GEO-0032,88,11,4624.95,2044.18,27,2023-01-02,2026-04-04,4,5,4,454,Champions,4624.95,420.45
CUST-0010,Stephen Nguyen,Home Office,Central,Ohio,Cleveland,2025-03-28,GEO-0030,125,3,731.5,316.05,6,2025-07-05,2026-02-26,3,2,2,322,Potential Loyalists,731.5,243.83
CUST-0011,Matthew Rodriguez,Consumer,East,Massachusetts,Boston,2023-08-16,GEO-0002,278,5,715.75,-162.38,6,2023-10-11,2025-09-26,2,3,2,232,At-Risk Customers,715.75,143.15
CUST-0012,David Robinson,Home Office,Central,Minnesota,Minneapolis,2023-07-24,GEO-0032,593,1,134.1,72.75,1,2024-11-15,2024-11-15,1,1,1,111,Low-Value Customers,134.1,134.1
CUST-0013,Ryan Campbell,Consumer,Central,Ohio,Columbus,2023-03-06,GEO-0004,205,1,318.75,146.33,5,2025-12-08,2025-12-08,3,1,1,311,Low-Value Customers,318.75,318.75
CUST-0014,Christine Wright,Corporate,West,Washington,Seattle,2025-06-01,GEO-0020,119,2,627.0,302.88,3,2026-02-07,2026-03-04,3,1,2,312,Potential Loyalists,627.0,313.5
CUST-0015,Samantha Perez,Corporate,East,New Jersey,Newark,2022-12-01,GEO-0018,546,3,1476.1,607.92,3,2022-12-25,2025-01-01,1,2,2,122,Low-Value Customers,1476.1,492.03
CUST-0016,Cynthia Carter,Consumer,East,Massachusetts,Boston,2023-10-27,GEO-0002,155,12,9799.050000000001,3488.32,29,2023-11-05,2026-01-27,3,5,5,355,Loyal Customers,9799.05,816.59
CUST-0017,Julie Davis,Consumer,West,California,San Diego,2023-10-09,GEO-0005,435,6,1126.8000000000002,479.62,12,2024-03-16,2025-04-22,1,4,2,142,At-Risk Customers,1126.8,187.8
CUST-0018,Stephanie Wright,Consumer,Central,Texas,San Antonio,2023-03-12,GEO-0001,834,2,1334.1,579.04,3,2023-04-20,2024-03-19,1,1,2,112,Low-Value Customers,1334.1,667.05
CUST-0019,Katherine Murphy,Consumer,South,North Carolina,Charlotte,2022-10-20,GEO-0015,1166,1,197.1,97.11,1,2023-04-22,2023-04-22,1,1,1,111,Low-Value Customers,197.1,197.1
CUST-0020,Ashley Moore,Consumer,Central,Illinois,Chicago,2025-04-12,GEO-0003,21,3,2833.2,791.36,4,2025-04-29,2026-06-10,5,2,3,523,New Customers,2833.2,944.4
CUST-0021,Jason Phillips,Consumer,West,Arizona,Phoenix,2024-11-09,GEO-0026,267,5,2950.45,1224.1799999999998,7,2024-11-30,2025-10-07,2,3,3,233,Loyal Customers,2950.45,590.09
CUST-0022,Amy Lopez,Corporate,West,Colorado,Denver,2022-11-10,GEO-0022,17,6,2456.75,1105.52,10,2023-12-03,2026-06-14,5,4,3,543,Loyal Customers,2456.75,409.46
CUST-0023,Benjamin Lee,Corporate,South,Florida,Tampa,2025-05-06,GEO-0009,381,2,1285.9,390.95,3,2025-05-31,2025-06-15,1,1,2,112,Low-Value Customers,1285.9,642.95
CUST-0024,William Roberts,Consumer,South,North Carolina,Charlotte,2024-12-19,GEO-0015,18,2,472.5,243.83999999999997,3,2025-08-12,2026-06-13,5,1,1,511,New Customers,472.5,236.25
CUST-0025,Paul Peterson,Home Office,West,California,Los Angeles,2022-08-23,GEO-0008,27,3,1031.7,54.74,9,2024-09-22,2026-06-04,5,2,2,522,New Customers,1031.7,343.9
CUST-0026,Debra Morgan,Corporate,Central,Michigan,Detroit,2022-08-17,GEO-0024,281,2,1009.0,458.15999999999997,2,2025-07-12,2025-09-23,2,1,2,212,Low-Value Customers,1009.0,504.5
