Customer ID,Customer Name,Segment,Region,State,City,Join Date
CUST-0001,Samantha Anderson,Consumer,Central,Texas,Houston,2023-05-17
CUST-0002,Donald Moore,Corporate,West,Washington,Spokane,2025-04-24
CUST-0003,Jason Jones,Consumer,East,Pennsylvania,Pittsburgh,2023-04-22
CUST-0004,Nicholas Brown,Corporate,South,Florida,Orlando,2023-03-28
CUST-0005,Laura Scott,Corporate,West,California,Los Angeles,2022-11-23
CUST-0006,Rachel Diaz,Consumer,West,Nevada,Las Vegas,2023-03-17
CUST-0007,Ruth Baker,Consumer,Central,Minnesota,Minneapolis,2022-07-18
CUST-0008,Amanda Hall,Corporate,West,California,San Diego,2024-07-29
CUST-0009,Jonathan Thomas,Home Office,Central,Minnesota,Minneapolis,2022-06-11
CUST-0010,Stephen Nguyen,Home Office,Central,Ohio,Cleveland,2025-03-28
CUST-0011,Matthew Rodriguez,Consumer,East,Massachusetts,Boston,2023-08-16
CUST-0012,David Robinson,Home Office,Central,Minnesota,Minneapolis,2023-07-24
CUST-0013,Ryan Campbell,Consumer,Central,Ohio,Columbus,2023-03-06
CUST-0014,Christine Wright,Corporate,West,Washington,Seattle,2025-06-01
CUST-0015,Samantha Perez,Corporate,East,New Jersey,Newark,2022-12-01
CUST-0016,Cynthia Carter,Consumer,East,Massachusetts,Boston,2023-10-27
CUST-0017,Julie Davis,Consumer,West,California,San Diego,2023-10-09
CUST-0018,Stephanie Wright,Consumer,Central,Texas,San Antonio,2023-03-12
CUST-0019,Katherine Murphy,Consumer,South,North Carolina,Charlotte,2022-10-20
CUST-0020,Ashley Moore,Consumer,Central,Illinois,Chicago,2025-04-12
CUST-0021,Jason Phillips,Consumer,West,Arizona,Phoenix,2024-11-09
CUST-0022,Amy Lopez,Corporate,West,Colorado,Denver,2022-11-10
CUST-0023,Benjamin Lee,Corporate,South,Florida,Tampa,2025-05-06
CUST-0024,William Roberts,Consumer,South,North Carolina,Charlotte,2024-12-19
CUST-0025,Paul Peterson,Home Office,West,California,Los Angeles,2022-08-23
CUST-0026,Debra Morgan,Corporate,Central,Michigan,Detroit,2022-08-17
CUST-0027,Donna Parker,Consumer,West,California,Los Angeles,2023-06-24
CUST-0028,Nicholas Thompson,Consumer,West,Oregon,Portland,2023-09-04
CUST-0029,Julie Cook,Corporate,West,Nevada,Las Vegas,2024-02-05
CUST-0030,Ruth Lee,Corporate,West,California,Los Angeles,2025-05-11
CUST-0031,Carol Morales,Consumer,Central,Ohio,Cleveland,2023-09-22
CUST-0032,Mark Davis,Consumer,West,Washington,Spokane,2022-06-25
CUST-0033,Carolyn Morales,Corporate,West,Arizona,Phoenix,2022-09-20
CUST-0034,Gregory Stewart,Home Office,East,New York,New York City,2023-06-27
CUST-0035,Angela Diaz,Home Office,East,Pennsylvania,Philadelphia,2023-10-01
CUST-0036,Stephanie Mitchell,Consumer,South,Georgia,Atlanta,2022-09-05
CUST-0037,Sandra Lewis,Consumer,West,California,San Francisco,2025-04-19
CUST-0038,Stephen Robinson,Corporate,West,California,Los Angeles,2022-05-26
CUST-0039,Raymond Davis,Consumer,West,California,San Diego,2023-11-08
CUST-0040,Elizabeth Rogers,Consumer,South,Virginia,Richmond,2023-03-15
CUST-0041,Helen Taylor,Corporate,South,Tennessee,Nashville,2023-05-13
CUST-0042,Tyler Stewart,Corporate,East,Pennsylvania,Philadelphia,2022-07-13
CUST-0043,Richard Parker,Consumer,South,Florida,Orlando,2024-08-14
CUST-0044,Henry Miller,Corporate,West,Oregon,Portland,2022-05-05
CUST-0045,Stephanie Baker,Corporate,West,Oregon,Portland,2023-05-25
CUST-0046,Matthew Harris,Corporate,West,Arizona,Phoenix,2024-05-14
CUST-0047,Margaret Scott,Consumer,West,Washington,Seattle,2024-06-26
CUST-0048,Diane Peterson,Consumer,West,California,Los Angeles,2022-07-11
CUST-0049,Kyle Walker,Consumer,South,Virginia,Richmond,2024-09-12
CUST-0050,Betty Phillips,Home Office,East,New York,New York City,2024-02-16
CUST-0051,James Roberts,Consumer,South,North Carolina,Charlotte,2023-08-08
CUST-0052,Jason Bailey,Corporate,South,Virginia,Richmond,2022-11-14
CUST-0053,Matthew Nguyen,Consumer,West,California,San Jose,2025-04-01
CUST-0054,Jack Cooper,Consumer,Central,Texas,San Antonio,2022-04-28
CUST-0055,Michael Morris,Consumer,East,New York,New York City,2022-04-27
CUST-0056,Shirley Hernandez,Home Office,West,Washington,Seattle,2025-05-03
